IssueID;ProjektID;SAP_Anwendungssystem_ID;BuchungstypID
15863;14006;None;10329
16008;17300;None;10329
16030;14006;None;10330
16899;14006;None;10330
16900;14006;None;10330
16901;13501;None;10330
16913;13501;None;10330
16922;13501;None;10330
17247;12251;None;10329
17248;13501;None;10329
17249;13501;None;10329
17250;13501;None;10329
17252;21803;None;10329
17253;16001;None;10329
17279;20200;None;10329
17473;21803;None;10330
17474;21803;None;10330
17475;21803;None;10330
17523;12252;None;10329
17650;12253;None;10329
17879;12214;None;10330
18031;12253;None;10329
18081;21802;None;10330
18122;12250;None;10330
15863;14006;None;10329;;;
16008;17300;None;10329;;;
16030;14006;None;10330;;;
16899;14006;None;10330;;;
16900;14006;None;10330;;;
16901;13501;None;10330;;;
16913;13501;None;10330;;;
16922;13501;None;10330;;;
17247;12251;None;10329;;;
17248;13501;None;10329;;;
17249;13501;None;10329;;;
17250;13501;None;10329;;;
17252;21803;None;10329;;;
17253;16001;None;10329;;;
17279;20200;None;10329;;;
17473;21803;None;10330;;;
17474;21803;None;10330;;;
17475;21803;None;10330;;;
17523;12252;None;10329;;;
17650;12253;None;10329;;;
17879;12214;None;10330;;;
18031;12253;None;10329;;;
18081;21802;None;10330;;;
18122;12250;None;10330;;;
;;None;;15863;14006;10329
;;None;;16008;17300;10329
;;None;;16030;14006;10330
;;None;;16899;14006;10330
;;None;;16900;14006;10330
;;None;;16901;13501;10330
;;None;;16913;13501;10330
;;None;;16922;13501;10330
;;None;;17247;12251;10329
;;None;;17248;13501;10329
;;None;;17249;13501;10329
;;None;;17250;13501;10329
;;None;;17252;21803;10329
;;None;;17253;16001;10329
;;None;;17279;20200;10329
;;None;;17473;21803;10330
;;None;;17474;21803;10330
;;None;;17475;21803;10330
;;None;;17523;12252;10329
;;None;;17650;12253;10329
;;None;;17879;12214;10330
;;None;;18031;12253;10329
;;None;;18081;21802;10330
;;None;;18122;12250;10330
15863;14006;None;10329
16008;17300;None;10329
16030;14006;None;10330
16899;14006;None;10330
16900;14006;None;10330
16901;13501;None;10330
16913;13501;None;10330
16922;13501;None;10330
17247;12251;None;10329
17248;13501;None;10329
17249;13501;None;10329
17250;13501;None;10329
17252;21803;None;10329
17253;16001;None;10329
17279;20200;None;10329
17473;21803;None;10330
17474;21803;None;10330
17475;21803;None;10330
17523;12252;None;10329
17650;12253;None;10329
17879;12214;None;10330
18031;12253;None;10329
18081;21802;None;10330
18122;12250;None;10330
15863;14006;None;10329
16008;17300;None;10329
16030;14006;None;10330
16899;14006;None;10330
16900;14006;None;10330
16901;13501;None;10330
16913;13501;None;10330
16922;13501;None;10330
17247;12251;None;10329
17248;13501;None;10329
17249;13501;None;10329
17250;13501;None;10329
17252;21803;None;10329
17253;16001;None;10329
17279;20200;None;10329
17473;21803;None;10330
17474;21803;None;10330
17475;21803;None;10330
17523;12252;None;10329
17650;12253;None;10329
17879;12214;None;10330
18031;12253;None;10329
18081;21802;None;10330
18122;12250;None;10330
